Symbol,Company Name,Industry,Market Cap
AIT,Applied Industrial Technologies,Trading Companies &amp; Distributors,3.74B
AIV,Apartment Investment &amp; Management Company,"Equity Real Estate 
Investment Trusts...",1.04B
AIZ,Assurant,Insurance,8.38B
AJG,Arthur J. Gallagher &amp; Company,Insurance,31.96B
AJRD,Aerojet Rocketdyne Holdings,Aerospace &amp; Defense,3.46B
AJX,Great Ajax,"Mortgage Real Estate Investment 
Trus...",291.83M
AKA,a.k.a. Brands Holding,Internet Retail,810.48M
AKAM,Akamai Technologies,IT Services,18.30B
AKBA,Akebia Therapeutics,Biotechnology,349.92M
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,285.57M
AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1.93B
AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,2.14B
AKR,Acadia Realty Trust,"Equity Real Estate 
Investment Trusts...",1.78B
AKRO,Akero Therapeutics,Biotechnology,695.32M
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments &amp; C...",264.91M
AKTX,Akari Therapeutics,Pharmaceuticals,74.23M
AKU,Akumin,Diagnostics &amp; Research,134.43M
AKUS,Akouos,Biotechnology,192.82M
AKYA,Akoya Biosciences,Medical Instruments &amp; Supplies,427.89M
AL,Air Lease,Trading Companies &amp; Distributors,4.64B
ALAC,Alberton Acquisition,Blank Check / SPAC,52.73M
ALB,Albemarle,Chemicals,24.89B
ALBO,Albireo Pharma,Biotechnology,490.83M
ALC,Alcon,Medical Instruments &amp; Supplies,38.05B
ALCC,AltC Acquisition,Blank Check / SPAC,619.68M
ALCO,Alico,Food Products,271.11M
ALDX,Aldeyra Therapeutics,Biotechnology,188.80M
ALE,ALLETE,Electric Utilities,3.35B
ALEC,Alector,Biotechnology,1.26B
ALEX,Alexander &amp; Baldwin,"Equity Real Estate 
Investment Trusts...",1.65B
ALF,"ALFI, Inc.",Software-Infrastructure,28.31M
ALG,Alamo Group,Machinery,1.77B
ALGM,Allegro MicroSystems,Semiconductors &amp; Semiconductor Equipment,5.04B
ALGN,Align Technology,Health Care Equipment &amp; Supplies,36.49B
ALGS,Aligos Therapeutics,Biotechnology,129.13M
ALGT,Allegiant Travel Company,Airlines,3.19B
ALHC,Alignment Healthcare,Health Care Providers &amp; Services,1.30B
ALIM,Alimera Sciences,Pharmaceuticals,29.76M
ALIT,Alight,Software-Application,4.18B
ALJJ,ALJ Regional Holdings,IT Services,75.91M
ALK,Alaska Air Group,Airlines,6.52B
ALKS,Alkermes,Biotechnology,3.88B
ALKT,Alkami Technology,Software-Application,1.23B
ALL,The Allstate Corporation,Insurance,34.23B
ALLE,Allegion,Building Products,10.88B
ALLK,Allakos,Biotechnology,372.05M
ALLO,Allogene Therapeutics,Biotechnology,1.62B
ALLR,Allarity Therapeutics,Biotechnology,64.36M
ALLT,Allot,Software,358.96M
ALLY,Ally Financial,Consumer Finance,16.30B
ALNA,Allena Pharmaceuticals,Biotechnology,32.87M
ALNY,Alnylam Pharmaceuticals,Biotechnology,16.31B
ALOR,ALSP Orchid Acquisition I,Blank Check / SPAC,221.85M
ALOT,AstroNova,"Technology Hardware, Storage &amp; Periph...",95.06M
ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,184.75M
ALPN,Alpine Immune Sciences,Biotechnology,245.45M
ALPP,Alpine 4 Holdings,Metal Fabrication,273.85M
ALRM,Alarm.com Holdings,Software,3.66B
ALRN,Aileron Therapeutics,Biotechnology,37.60M
ALRS,Alerus Financial,Diversified Financial Services,482.86M
ALSN,Allison Transmission Holdings,Machinery,4.05B
ALT,Altimmune,Biotechnology,277.77M
ALTG,Alta Equipment Group,Trading Companies &amp; Distributors,441.11M
ALTM,Altus Midstream Company,"Oil, Gas &amp; Consumable Fuels",235.84M
ALTO,Alto Ingredients,"Oil, Gas &amp; Consumable Fuels",338.52M
ALTR,Altair Engineering,Software,4.68B
ALTU,Altitude Acquisition,Blank Check / SPAC,370.88M
ALV,Autoliv,Auto Components,8.64B
ALVR,AlloVir,Biotechnology,528.29M
ALX,Alexander's,"Equity Real Estate 
Investment Trusts...",1.30B
ALXO,ALX Oncology Holdings,Biotechnology,625.31M
ALYA,Alithya Group,IT Services,215.28M
ALZN,Alzamend Neuro,Biotechnology,135.05M
AM,Antero Midstream,"Oil, Gas &amp; Consumable Fuels",4.74B
AMAL,Amalgamated Financial,Banks,492.89M
AMAM,Ambrx Biopharma,Biotechnology,176.87M
AMAO,American Acquisition Opportunity,Blank Check / SPAC,136.02M
AMAT,Applied Materials,Semiconductors &amp; Semiconductor Equipment,120.00B
AMBA,Ambarella,Semiconductors &amp; Semiconductor Equipment,4.99B
AMBC,Ambac Financial Group,Insurance,664.93M
AMBO,Ambow Education Holding,Diversified Consumer Services,18.82M
AMBP,Ardagh Metal Packaging,Packaging &amp; Containers,5.62B
AMC,AMC Entertainment Holdings,Entertainment,9.22B
AMCI,AMCI Acquisition II,Blank Check / SPAC,181.50M
AMCR,Amcor,Containers &amp; Packaging,18.32B
AMCX,AMC Networks,Media,1.52B
AMD,Advanced Micro Devices,Semiconductors &amp; Semiconductor Equipment,143.48B
AME,AMETEK,Electrical Equipment,31.56B
AMED,Amedisys,Health Care Providers &amp; Services,4.34B
AMEH,Apollo Medical Holdings,Health Care Providers &amp; Services,2.85B
AMG,Affiliated Managers Group,Capital Markets,5.72B
AMGN,Amgen,Biotechnology,128.27B
AMH,American Homes 4 Rent,"Equity Real Estate 
Investment Trusts...",13.31B
AMK,AssetMark Financial Holdings,Capital Markets,1.77B
AMKR,Amkor Technology,Semiconductors &amp; Semiconductor Equipment,5.28B
AMLX,Amylyx Pharmaceuticals,Biotechnology,1.04B
AMN,AMN Healthcare Services,Health Care Providers &amp; Services,4.42B
AMNB,American National Bankshares,Banks,403.34M
AMOT,Allied Motion Technologies,Electrical Equipment,549.62M
AMOV,America Movil,Wireless Telecommunication Services,62.12B
AMP,Ameriprise Financial,Capital Markets,33.50B
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,109.02M
AMPG,AmpliTech Group,Communication Equipment,30.38M
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1.18B
AMPI,Advanced Merger Partners,Blank Check / SPAC,348.95M
AMPL,Amplitude,Software-Application,4.05B
AMPS,Altus Power,Utilities-Renewable,1.21B
AMPY,Amplify Energy,Oil &amp; Gas E&amp;P,131.18M
AMR,Alpha Metallurgical Resources,"Oil, Gas &amp; Consumable Fuels",1.10B
AMRC,Ameresco,Construction &amp; Engineering,2.51B
AMRK,A-Mark Precious Metals,Diversified Financial Services,651.84M
AMRN,Amarin,Biotechnology,1.22B
AMRS,Amyris,Chemicals,1.29B
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,666.19M
AMS,American Shared Hospital Services,Health Care Providers &amp; Services,13.03M
AMSC,American Superconductor,Electrical Equipment,226.60M
AMSF,AMERISAFE,Insurance,1.03B
AMST,Amesite,Software-Application,22.43M
AMSWA,American Software,Software,759.73M
AMT,American Tower,"Equity Real Estate 
Investment Trusts...",111.47B
AMTB,Amerant Bancorp,Banks,1.25B
AMTI,Applied Molecular Transport,Biotechnology,340.25M
AMTX,Aemetis,"Oil, Gas &amp; Consumable Fuels",295.78M
AMWD,American Woodmark,Building Products,988.05M
AMWL,American Well,Health Information Services,1.06B
AMX,America Movil,Wireless Telecommunication Services,62.44B
AMYT,Amryt Pharma,Drug Manufacturers-Specialty &amp; Generic,656.90M
AMZN,Amazon.com,Internet &amp; Direct Marketing Retail,"1,446.82B"
AN,AutoNation,Specialty Retail,6.88B
ANAB,AnaptysBio,Biotechnology,856.71M
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,384.24M
ANAT,American National Group,Insurance,5.07B
ANDE,The Andersons,Food &amp; Staples Retailing,1.24B
ANEB,Anebulo Pharmaceuticals,Biotechnology,163.41M
ANET,Arista Networks,Communications Equipment,36.45B
ANF,Abercrombie &amp; Fitch Company,Specialty Retail,1.83B
ANGI,Angi Inc.,Interactive Media &amp; Services,3.99B
ANGN,Angion Biomedica,Biotechnology,65.60M
ANGO,AngioDynamics,Health Care Equipment &amp; Supplies,856.41M
ANIK,Anika Therapeutics,Biotechnology,461.83M
ANIP,ANI Pharmaceuticals,Pharmaceuticals,683.46M
ANIX,Anixa Biosciences,Biotechnology,93.41M
ANNX,Annexon,Biotechnology,287.81M
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,18.48M
ANSS,ANSYS,Software,28.42B
ANTE,AirNet Technology,Media,26.69M
ANTM,Anthem,Health Care Providers &amp; Services,107.17B
